time,y,band,x,spatial_ref,Corn3_prepped_inputs_mod21a1d_catd
2022-09-23,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-23,4218331.140033628,1.0,629271.6446770779,0.0,9.679993896484405
2022-09-24,4218331.140033628,1.0,629271.6446770779,0.0,15.299982910156245
2022-09-24,4219257.765466684,1.0,629271.6446770779,0.0,14.04000366210937
2022-09-24,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-25,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-09-25,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-09-25,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-26,4218331.140033628,1.0,629271.6446770779,0.0,16.46999267578127
2022-09-26,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-26,4219257.765466684,1.0,629271.6446770779,0.0,16.46999267578127
2022-09-27,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-27,4219257.765466684,1.0,629271.6446770779,0.0,17.020007324218795
2022-09-27,4218331.140033628,1.0,629271.6446770779,0.0,17.020007324218795
2022-09-28,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-28,4219257.765466684,1.0,629271.6446770779,0.0,8.289980468750002
2022-09-28,4218331.140033628,1.0,629271.6446770779,0.0,9.810000000000002
2022-09-29,4219257.765466684,1.0,629271.6446770779,0.0,15.889998779296889
2022-09-29,4218331.140033628,1.0,629271.6446770779,0.0,15.550002441406264
2022-09-29,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-30,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-30,4218331.140033628,1.0,629271.6446770779,0.0,11.709997558593784
2022-09-30,4219257.765466684,1.0,629271.6446770779,0.0,9.650000000000034
